10; 05; 1; 1; 2.786010e-01; 19; 1.949716e+01
10; 05; 1; 25; 5.598186e-02; 19; 1.949716e+01
10; 05; 1; 50; 5.063044e-02; 19; 1.949716e+01
10; 05; 1; 75; 5.464849e-02; 19; 1.949716e+01
10; 05; 1; 100; 6.029848e-02; 19; 1.949716e+01
10; 10; 1; 1; 2.280735e-02; 25; 2.500000e+01
10; 10; 1; 25; 2.246383e-02; 25; 2.500000e+01
10; 10; 1; 50; 2.292277e-02; 25; 2.500000e+01
10; 10; 1; 75; 2.218917e-02; 25; 2.500000e+01
10; 10; 1; 100; 2.002207e-02; 25; 2.500000e+01
10; 05; 25; 1; 5.408962e-02; 198; 2.295916e+02
10; 05; 25; 25; 4.701872e-02; 220; 2.295916e+02
10; 05; 25; 50; 5.270536e-02; 220; 2.295916e+02
10; 05; 25; 75; 4.980738e-02; 220; 2.295916e+02
10; 05; 25; 100; 5.092229e-02; 220; 2.295916e+02
10; 10; 25; 1; 4.517672e-02; 336; 4.010006e+02
10; 10; 25; 25; 5.042167e-02; 396; 4.010006e+02
10; 10; 25; 50; 5.084849e-02; 396; 4.010006e+02
10; 10; 25; 75; 5.155057e-02; 396; 4.010006e+02
10; 10; 25; 100; 5.253737e-02; 396; 4.010006e+02
10; 05; 50; 1; 6.089962e-02; 481; 5.289817e+02
10; 05; 50; 25; 5.223154e-02; 509; 5.289817e+02
10; 05; 50; 50; 5.089399e-02; 509; 5.289817e+02
10; 05; 50; 75; 4.739878e-02; 509; 5.289817e+02
10; 05; 50; 100; 5.079889e-02; 509; 5.289817e+02
10; 10; 50; 1; 4.381606e-02; 667; 6.835625e+02
10; 10; 50; 25; 5.004722e-02; 679; 6.835625e+02
10; 10; 50; 50; 4.483586e-02; 679; 6.835625e+02
10; 10; 50; 75; 4.789583e-02; 679; 6.835625e+02
10; 10; 50; 100; 4.828148e-02; 679; 6.835625e+02
10; 05; 75; 1; 5.414725e-02; 639; 6.463547e+02
10; 05; 75; 25; 5.198310e-02; 639; 6.463547e+02
10; 05; 75; 50; 4.863202e-02; 639; 6.463547e+02
10; 05; 75; 75; 5.640028e-02; 639; 6.463547e+02
10; 05; 75; 100; 4.847513e-02; 639; 6.463547e+02
10; 10; 75; 1; 4.871764e-02; 1072; 1.129702e+03
10; 10; 75; 25; 4.781992e-02; 1113; 1.129702e+03
10; 10; 75; 50; 4.848033e-02; 1113; 1.129702e+03
10; 10; 75; 75; 5.490612e-02; 1113; 1.129702e+03
10; 10; 75; 100; 5.768681e-02; 1113; 1.129702e+03
10; 05; 100; 1; 5.178212e-02; 807; 8.455262e+02
10; 05; 100; 25; 5.007442e-02; 842; 8.455262e+02
10; 05; 100; 50; 5.431939e-02; 842; 8.455262e+02
10; 05; 100; 75; 4.834606e-02; 842; 8.455262e+02
10; 05; 100; 100; 5.342548e-02; 842; 8.455262e+02
10; 10; 100; 1; 4.537567e-02; 1460; 1.644163e+03
10; 10; 100; 25; 4.653736e-02; 1625; 1.644163e+03
10; 10; 100; 50; 4.303648e-02; 1625; 1.644163e+03
10; 10; 100; 75; 4.435028e-02; 1625; 1.644163e+03
10; 10; 100; 100; 5.009189e-02; 1625; 1.644163e+03
25; 05; 1; 1; 1.789828e-01; 85; 9.207000e+01
25; 05; 1; 25; 1.620373e-01; 89; 9.207000e+01
25; 05; 1; 50; 1.659972e-01; 89; 9.207000e+01
25; 05; 1; 75; 1.563678e-01; 89; 9.207000e+01
25; 05; 1; 100; 1.568493e-01; 89; 9.207000e+01
25; 10; 1; 1; 7.091971e-02; 150; 1.562500e+02
25; 10; 1; 25; 7.304529e-02; 156; 1.562500e+02
25; 10; 1; 50; 7.192597e-02; 156; 1.562500e+02
